market_id,contrast,config_a,config_b,n_pairs,mean_diff_a_minus_b,ci95_low,ci95_high,t,p_value,cohen_dz
fed_decision_in_december,"llms_minus_humans | market_probs=True, news=True",1,3,20,-0.25025,-0.34532077421298357,-0.15517922578701637,-5.509361567228595,2.5817284474379525e-05,-1.2319306976947915
fed_decision_in_october,"llms_minus_humans | market_probs=True, news=True",1,3,20,0.0014999999999999957,-0.001987455310187176,0.004987455310187168,0.9002369356365904,0.3792632941782221,0.20129909839395188
fed_decision_in_september,"llms_minus_humans | market_probs=True, news=True",1,3,20,0.0072500000000000064,0.0012490424335555462,0.013250957566444467,2.5286671712713056,0.02046325625738598,0.5654271687434742
fed_interest_rates_january_2025,"llms_minus_humans | market_probs=True, news=True",1,3,20,-0.0009000000000000008,-0.002475449316660454,0.0006754493166604525,-1.195672643383085,0.24653436032651227,-0.26736053094414425
new_york_city_mayoral_election,"llms_minus_humans | market_probs=True, news=True",1,3,20,0.0039250000000000005,-0.006615931234175779,0.01446593123417578,0.7793542364566021,0.44537073693565105,0.1742689051269407
who_will_be_inaugurated_as_president,"llms_minus_humans | market_probs=True, news=True",1,3,20,0.0007000000000000006,-7.94490442578219e-05,0.0014794490442578232,1.8796826410645937,0.0755762783082322,0.420309816154677
fed_decision_in_december,"llms_minus_none | market_probs=True, news=True",1,5,20,-0.233,-0.3271750658880171,-0.13882493411198293,-5.178383472086193,5.3458470707055956e-05,-1.1579217457146114
fed_decision_in_october,"llms_minus_none | market_probs=True, news=True",1,5,20,-2.4999999999997247e-05,-0.0013189628375043117,0.0012689628375043172,-0.0404382566821804,0.9681656388506109,-0.009042269083294049
fed_decision_in_september,"llms_minus_none | market_probs=True, news=True",1,5,20,0.004249999999999999,-0.0008585382902744614,0.009358538290274459,1.741271519520587,0.09780437389584193,0.3893601484932384
fed_interest_rates_january_2025,"llms_minus_none | market_probs=True, news=True",1,5,20,-0.001200000000000001,-0.0035343997197325723,0.0011343997197325703,-1.0759206506320624,0.29543573872388806,-0.24058317132090937
new_york_city_mayoral_election,"llms_minus_none | market_probs=True, news=True",1,5,20,-0.002275000000000005,-0.012902305296533923,0.008352305296533915,-0.44805617142963894,0.659179869017392,-0.10018840570549718
who_will_be_inaugurated_as_president,"llms_minus_none | market_probs=True, news=True",1,5,20,2.4999999999997247e-05,-0.0008684147336908267,0.0009184147336908212,0.0585680976449061,0.9539077265905144,0.013096224764685537
fed_decision_in_december,"humans_minus_none | market_probs=True, news=True",3,5,20,0.01725,-0.0015699962497744274,0.03606999624977443,1.9184204108954628,0.07021033900653573,0.42897184481853323
fed_decision_in_october,"humans_minus_none | market_probs=True, news=True",3,5,20,-0.001524999999999993,-0.004363176809218078,0.001313176809218092,-1.124616927531027,0.27475893881005203,-0.25147198986063307
fed_decision_in_september,"humans_minus_none | market_probs=True, news=True",3,5,20,-0.0030000000000000083,-0.007254340513232198,0.0012543405132321816,-1.4759213898594323,0.15634616383641659,-0.3300260557171659
fed_interest_rates_january_2025,"humans_minus_none | market_probs=True, news=True",3,5,20,-0.00030000000000000024,-0.0020583762452027025,0.0014583762452027023,-0.3570949152865228,0.7249562557292506,-0.07984885050001939
new_york_city_mayoral_election,"humans_minus_none | market_probs=True, news=True",3,5,20,-0.006200000000000006,-0.01702637596358711,0.0046263759635870975,-1.1986235450326943,0.24541140364201364,-0.26802037261248846
